date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:53	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202024%2012:22:48%20GMT	https://templates.g5plus.net/robots.txt		(from )
19:22:53	243827/243827	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-16.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-16.html	(from )
19:22:54	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226662716b-3aee%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/others/favicon.ico	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/images/others/favicon.ico	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:54	29527/29527	---MCZ	200	added ('OK')	text/css	etag:W/%226662716f-7357%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/lightgallery/css/lightgallery-bundle.min.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/lightgallery/css/lightgallery-bundle.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:54	101709/101709	---MCZ	200	added ('OK')	text/css	etag:W/%226662716f-18d4d%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fontawesome/css/all.min.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fontawesome/css/all.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:54	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%226662716e-11846%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/animate/animate.min.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/animate/animate.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:54	1875/1875	---MCZ	200	added ('OK')	text/css	etag:W/%226662716e-753%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/slick/slick.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/slick/slick.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:55	34832/34832	---MCZ	200	added ('OK')	text/css	etag:W/%226662716e-8810%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/mapbox-gl/mapbox-gl.min.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/mapbox-gl/mapbox-gl.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:55	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/laragon/www/template/Quan/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:55	183/183	---MCZ	200	added ('OK')	text/css	etag:W/%226662716f-b7%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fonts/a-antara-distance/stylesheet.min.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fonts/a-antara-distance/stylesheet.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:55	636594/636594	---MCZ	200	added ('OK')	text/css	etag:W/%226662716e-9b6b2%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/css/theme-violet.css	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/css/theme-violet.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:56	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202024%2012:22:51%20GMT	https://templates.g5plus.net/assets/images/header/flag.jpg	C:/laragon/www/template/Quan/templates.g5plus.net/assets/images/header/flag.jpg	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:56	2146/2146	---M--	200	added ('OK')	image/png	etag:%226662716b-8f7%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/others/logo.png	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/images/others/logo.png	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:57	2146/2146	---M--	200	added ('OK')	image/png	etag:%226662716b-8f7%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/others/logo-white.png	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/assets/images/others/logo-white.png	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:57	414/414	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/index.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:57	414/414	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/index.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/index-2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:58	261237/261237	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-01.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-01.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:58	256028/256028	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-02.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:59	308779/308779	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-03.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-03.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:22:59	274622/274622	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-04.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-04.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:00	261293/261293	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-05.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-05.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:00	244406/244406	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-06.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-06.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:00	340377/340377	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-07.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-07.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:01	249718/249718	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-08.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-08.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:01	269066/269066	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:13%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-09.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-09.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:02	209853/209853	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-10.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-10.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:02	243881/243881	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-11.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-11.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:02	261685/261685	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-12.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-12.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:03	242553/242553	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-14.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-14.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:03	301694/301694	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-13.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-13.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:04	194335/194335	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-15.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-15.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:04	246542/246542	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:19%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-17.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-17.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
19:23:04	259787/259787	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:15%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-18.html	C:/laragon/www/template/Quan/templates.g5plus.net/glowing-bootstrap-5/home-18.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-16.html)
